LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION	NOTE
L00001	aa	aa	incontournable*	incontournable	
L00002	aa	aa	lave*	lave	
L00003	aa	aa	cheire*	cheire	
L00004	aa	aa	pahoehoe*	pahoehoe	
L00005	aber	aber	ria*	ria	
L00006	abîme	abîme	gouffre*	gouffre	
L00007	abîme	abîme	gorge*	gorge	
L00008	abîme	abîme	cime*	cime	
L00009	abîme	abîme	échelle*	échelle	
L00010	abîme	abîme	carton*	carton	
L00011	abîme	abîme	formes fractales*	fractal	
L00012	ablation	ablation	érosion*	érosion	
L00013	ablation	ablation	fusion*	fusion	
L00014	ablation	ablation	sublimation*	sublimation	
L00015	abords	abords	bord*	bord	
L00016	aborigène	aborigène	indigène*	indigène	
L00017	aborigène	aborigène	autochtone*	autochtone	
L00018	aborigène	aborigène	natif*	natif	
L00019	abrasion	abrasion	platier*	platier	
L00020	abrasion	abrasion	fjell*	fjell	
L00021	abrasion	abrasion	moutonné*	mouton	
L00022	abri	abri	cagnard*	cagnard	
L00023	abri	abri	antre*	antre	
L00024	abri	abri	gélifraction*	NA	
L00025	abri	abri	port*	port	
L00026	abri	abri	havre*	havre	
L00027	abri	abri	crique*	crique	
L00028	abri	abri	bassin*	bassin	
L00029	abri	abri	rade*	rade	
L00030	abri	abri	aubette*	aubette	
L00031	abri	abri	refuge*	refuge	
L00032	abrupt	abrupt	escarpement*	escarpement	
L00033	abrupt	abrupt	route*	route	
L00034	absentéisme	absentéisme	taux*	taux	
L00035	absentéisme	absentéisme	« au noir* »	noir	
L00036	abstraction	abstraction	contingence*	contingence	
L00037	abstraction	abstraction	médias*	média	
L00038	abstraction	abstraction	structure*	structure	
L00039	abstraction	abstraction	bruit*	bruit	
L00040	abstraction	abstraction	forme* singulière	forme	
L00041	abstraction	abstraction	modèle*	modèle	
L00042	abstraction	abstraction	carte*	carte	
L00043	abstraction	abstraction	généralisation* 	généralisation	
L00044	abstraction	abstraction	comparaison*	comparaison	
L00045	abstraction	abstraction	concret*	concret	
L00046	abstraction	abstraction	terrain*	terrain	
L00047	abstraction	abstraction	Antée*	Antée	
L00048	abyssal	abyssal	abîme*	abîme	
