LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION
L0001	Abeille	abeille	AGROÉCOLOGIE	agroécologie
L0002	Abeille	abeille	DÉVELOPPEMENT - DURABLE	développement - durable
L0003	Abeille	abeille	ESPÈCE - INVASIVE/ENVAHISSANTE	espèce - invasive/envahissante
L0004	Abeille	abeille	RESSOURCE	ressource
L0005	Abeille	abeille	SAVOIR AUTOCHTONE	savoir autochtone
L0006	Acclimatation	acclimatation	CHANGEMENT ET DÉRÈGLEMENT CLIMATIQUES	changement et dérèglement climatiques
L0007	Acclimatation	acclimatation	CONSERVATION	conservation
L0008	Acclimatation	acclimatation	ESPÈCE - INVASIVE/ENVAHISSANTE	espèce - invasive/envahissante
L0009	Acclimatation	acclimatation	PARC	parc
L0010	Acclimatation	acclimatation	RENATURATION	renaturation
L0011	Actualisme ou uniformitarisme	actualisme ou uniformitarisme	ÂGE DE LA TERRE	âge de la terre
L0012	Actualisme ou uniformitarisme	actualisme ou uniformitarisme	CLIMAX ET ÉCOSYSTÈME	climax et écosystème
L0013	Actualisme ou uniformitarisme	actualisme ou uniformitarisme	DÉLUGE	déluge
L0014	Actualisme ou uniformitarisme	actualisme ou uniformitarisme	MODÈLE - MODÉLISATION	modèle - modélisation
L0015	Adaptation	adaptation	ANTHROPOCÈNE	anthropocène
L0016	Adaptation	adaptation	BIOPOLITIQUE ET BIOPOUVOIR	biopolitique et biopouvoir
L0017	Adaptation	adaptation	CHANGEMENT ET DÉRÈGLEMENT CLIMATIQUES	changement et dérèglement climatiques
L0018	Adaptation	adaptation	RÉSILIENCE	résilience
L0019	Aéroport	aéroport	AMÉNAGEMENT DU TERRITOIRE	aménagement du territoire
L0020	Aéroport	aéroport	AUTOROUTE	autoroute
L0021	Aéroport	aéroport	CONFLIT ENVIRONNEMENTAL	conflit environnemental
L0022	Aéroport	aéroport	ENVIRONNEMENT URBAIN	environnement urbain
L0023	Aéroport	aéroport	GP2I (GRANDS PROJETS INUTILES ET IMPOSÉS)	gp2i (grands projets inutiles et imposés)
L0024	Aéroport	aéroport	JUSTICE ENVIRONNEMENTALE	justice environnementale
L0025	Aéroport	aéroport	POLLUTION	pollution
L0026	Âge de la Terre	âge de la terre	ANTHROPOCÈNE - HISTOIRE DU CONCEPT	anthropocène
L0027	Âge de la Terre	âge de la terre	ANTHROPOZOÏQUE (ÈRE)	anthropozoïque (ère)
L0028	Âge de la Terre	âge de la terre	APOCALYPSE	apocalypse
L0029	Âge de la Terre	âge de la terre	CATASTROPHISME	catastrophisme
L0030	Âge de la Terre	âge de la terre	DÉLUGE	déluge
L0031	Âge de la Terre	âge de la terre	ÈRE GÉOLOGIQUE	ère géologique
L0032	Âge de la Terre	âge de la terre	EXTINCTION DES ESPÈCES	extinction des espèces
L0033	Âge de la Terre	âge de la terre	GAÏA	gaïa
