LNUM	NOM_Prenom	GEOXXI
L001	AGUILERA_Thomas	0
L002	ALEXANDRE_Frédéric	0
L003	ANTOINE_Jean-Marc	0
L004	APPERT_Manuel	0
L005	ARGOUNÈS_Fabrice	1
L006	ARNAUD_Jean-Luc	0
L007	ARNAUD-FASSETTA_Gilles	0
L008	AUDEBERT_Cédric	0
L009	BABY-COLLIN_Virginie	0
L010	BARRAUD_Régis	0
L011	BAUDINAULT_Alexandra	0
L012	BAUMANN_Yaya	0
L013	BAYSSE-LAINÉ_Adrien	0
L014	BEAUGUITTE_Laurent	0
L015	BECQUART-ROUSSET_Charlotte	0
L016	BELAÏDI_Nadia	0
L017	BENNAFLA_Karine	0
L018	BERGONZI_Agnès	0
L019	BERNARDIE-TAHIR_Nathalie	0
L020	BERNIER_Xavier	0
L021	BERTRAIS_Dolorès	0
L022	BERTRAND_Frédéric	0
L023	BÉTARD_François	0
L024	BIHR_Alain	0
L025	BILGE_Sirma	0
L026	BLAIS_Hélène	0
L027	BLIDON_Marianne	0
L028	BONTE_Marie	0
L029	BOUDREAU_Julie-Anne	0
L030	BOULANGER_Philippe	0
L031	BOULAY_Guilhem	0
L032	BOURDEAU_Philippe	0
L033	BOUVET_Yvanne	0
L034	BRACHET_Julien	0
L035	BRENNETOT_Arnaud	0
L036	BRUCKERT_Michael	0
L037	BRUN_Marion	0
L038	BURGEL_Guy	0
L039	CAILLY_Laurent	0
L040	CALBÉRAC_Yann	0
L041	CAMBRÉZY_Luc	0
L042	CANOVA_Nicolas	0
L043	CARROUÉ_Laurent	0
L044	CASANOVA-ENAULT_Laure	0
L045	CATTAN_Nadine	0
L046	CATTARUZZA_Amaël	0
L047	CHALÉARD_Jean-Louis	0
L048	CHANTELOUP_Laine	1
L049	CHARREIRE_Hélène	0
L050	CHAUVIN_Emmanuel	1
L051	CHENET_Marie	1
L052	CHEVALIER_Dominique	0
L053	CHEVRILLON-GUIBERT_Raphaëlle	0
L054	CHOPLIN_Armelle	1
L055	CHOSSIÈRE_Florent	0
