LNUM	ORIGINE	RENVOI	DESTINATION
L001	aéroport	dispositif	dispositif
L002	aéroport	échelle	échelle
L003	aéroport	mobilité	mobilité
L004	aéroport	transport	transport
L005	agéographique	écritures géographiques	écritures géographiques
L006	agéographique	espace	espace
L007	agéographique	métagéographie	métagéographie
L008	aire culturelle	créolisation	créolisation
L009	aire culturelle	culture	culture
L010	aire culturelle	identité	identité
L011	aire culturelle	métagéographie	métagéographie
L012	aire culturelle	orientalisme	orientalisme
L013	aire culturelle	région	région
L014	aires protégées	autochtonie	autochtonie
L015	aires protégées	habitat	habitat
L016	aires protégées	nature	nature
L017	aires protégées	parc	parc
L018	aires protégées	sauvage	sauvage
L019	alcool	drogue	drogue
L020	alcool	vin	vin
L021	alimentation	cueillette	cueillette
L022	alimentation	élevage	élevage
L023	alimentation	faim	faim
L024	alimentation	paysans et agriculteurs	paysans et agriculteurs
L025	alimentation	ruralités	ruralités
L026	aménagement du territoire	pouvoirs locaux	pouvoirs locaux
L027	aménagement du territoire	territoire	territoire(s)
L028	anarchie	capitalisme	capitalisme
L029	anarchie	engagement	engagement
L030	anarchie	enseignement de la géographie	enseignement de la géographie
L031	anarchie	luttes environnementales	luttes environnementales
L032	anarchie	pouvoir	pouvoir
L033	animaux	corridors écologiques	corridor écologique
L034	animaux	humains/non humains	humains/non-humains
L035	animaux	zoo	zoo
L036	armées	drone	drone
L037	armées	géopolitique	géopolitique
L038	armées	politique	armées
L039	armées	pouvoir	pouvoir
L040	art	dessin	dessin
L041	art	imaginaire	imaginaire
L042	art	musée	musée
L043	art	photographie	photographie
L044	art	représentation	représentations
L045	atlas	bibliothèque de géographie	bibliothèque de géographie
L046	atlas	cartes et plans (département de la BNF)	cartes et plans (département de la BNF)
L047	atlas	continent	continent
L048	atlas	imaginaire	imaginaire
L049	atlas	monde	monde
L050	autochtonie	colonial/postcolonial/décolonial	colonial/postcolonial/décolonial
L051	autochtonie	ontologie	ontologie
L052	autocorrélation	concentration	concentration
L053	autocorrélation	statistique	statistique
L054	automobile	échelle	échelle
L055	automobile	mobilité	mobilité
L056	automobile	transport	transport
L057	bande dessinée	art	art
L058	bande dessinée	dessin	dessin
L059	bande dessinée	imaginaire	imaginaire
L060	bande dessinée	représentations	représentations
L061	banlieue	distance	distance
L062	banlieue	métropolisation	métropolisation
L063	banlieue	périurbain	périurbain
L064	banlieue	ségrégation	ségrégation
L065	banlieue	urbain	urbain
L066	barrage	eau	eau
L067	barrage	hydrosystème	hydrosystème
L068	barrage	restauration écologique	restauration écologique
L069	bibliothèque de géographie	cartes et plans (département de la BNF)	cartes et plans (département de la BNF)
L070	bibliothèque de géographie	enseignement de la géographie	enseignement de la géographie
L071	biodiversité	corridor écologique	corridor écologique
L072	biodiversité	écologie	écologie
L073	biodiversité	espèces invasives	espèces invasives
L074	biodiversité	nature	nature
L075	biodiversité	restauration écologique	restauration écologique
L076	bled	communs	communs
L077	bled	habiter	habiter
L078	bled	ruralités	ruralités
L079	bled	village	village
L080	cabane	habitat	habitat
L081	cabane	itinéraires	itinéraires
L082	cabane	squat	squat
L083	cabane	tourisme	tourisme
L084	camp	domination	domination
L085	camp	enfermement	enfermement
L086	camp	esclavage	esclavages
L087	camp	pouvoir	pouvoir
L088	camp	prison	prison
L089	capitalisme	classe	classe sociale
L090	capitalisme	désindustrialisation/réindustrialisation	désindustrialisation/réindustrialisation
L091	capitalisme	développement	développement
L092	capitalisme	domination	domination
L093	capitalisme	inégalités spatiales	inégalités spatiales
L094	carte	cartographie critique	cartographie critique
L095	carte	enseignement de la géographie	enseignement de la géographie
L096	carte	inégalités spatiales	inégalités spatiales
L097	cartes et plans (département de la BNF)	bibliothèque de géographie	bibliothèque de géographie
L098	cartes et plans (département de la BNF)	cartographie critique	cartographie critique
L099	cartes et plans (département de la BNF)	enseignement de la géographie	enseignement de la géographie
L100	cartes et plans (département de la BNF)	géohistoire	géohistoire
L101	système	centre-périphérie	centre-périphérie
L102	système	épistémologie de la géographie	épistémologie de la géographie
L103	système	espace	espace
L104	système	hydrosystème	hydrosystème
L105	système	interaction spatiale	interaction spatiale
L106	technique	cartographie critique	cartographie critique
L107	technique	extractivisme	extractivisme
L108	technique	transport	transport
L109	temps	épistémologie de la géographie	épistémologie de la géographie
L110	temps	géohistoire	géohistoire
L111	cartographie critique	dispositif	dispositif
L112	temps	histoire et géographie	histoire et géographie
L113	temps	identité	identité
L114	temps	trajectoire	trajectoire
L115	terrain	écritures géographiques	écritures géographiques
L116	terrain	épistémologie de la géographie	épistémologie de la géographie
L117	terrain	éthique et géographie	éthique et géographie
L118	terrain	expérience	expérience
L119	territoire(s)	contrôler	contrôler
L120	territoire(s)	état	état
L121	territoire(s)	géopolitique	géopolitique
L122	cartographie critique	géopolitique	géopolitique
L123	territoire(s)	pouvoir	pouvoir
L124	territoire(s)	représentations	représentations
L125	terroir	élevage	élevage
L126	terroir	habiter	habiter
L127	terroir	paysans et agriculteurs	paysans et agriculteurs
L128	terroir	ruralités	ruralités
L129	terroir	village	village
L130	terrorisme	conflit	conflit
L131	terrorisme	état	état
L132	terrorisme	géopolitique	géopolitique
L133	cartographie critique	politique	cartographie critique
L134	terrorisme	pouvoir	pouvoir
L135	terrorisme	violence	violence
L136	théâtre	culture	culture
L137	théâtre	dispositif	dispositif
L138	théâtre	imaginaire	imaginaire
L139	théâtre	patrimoine	patrimoine
L140	tiers-lieu	communs	communs
L141	toilettes	aménagement du territoire	aménagement du territoire
L142	toilettes	corps	corps
L143	toilettes	genre	genre
L144	cartographie critique	pouvoir	pouvoir
L145	toponymie	lieu	lieu
L146	tourisme	mondialisation	mondialisation
L147	tourisme	plage	plage
L148	tourisme	tourismophobie	tourismophobie/touristophobie
L149	tourismophobie/touristophobie	mondialisation	mondialisation
L150	tourismophobie/touristophobie	plage	plage
L151	tourismophobie/touristophobie	tourisme	tourisme
L152	tournant spatial	épistémologie de la géographie	épistémologie de la géographie
L153	tournant spatial	espace	espace
L154	tournant spatial	histoire-géographie	histoire et géographie
L155	casino	contrôle	contrôler
L156	tournant spatial	mondialisation	mondialisation
L157	tournant spatial	post-	post(-)
L158	train	gare	gare
L159	train	tourisme	tourisme
L160	trajectoire	famille	famille
L161	trajectoire	habiter	habiter
L162	trajectoire	migration	migration
L163	trajectoire	mobilité	mobilité
L164	trajectoire	territoire(s)	territoire(s)
L165	transition	changement climatique	changement climatique
L166	casino	dispositif	dispositif
L167	transition	environnement	environnement
L168	transition	gouvernance	gouvernance
L169	transnationalisme	cosmopolitisme	cosmopolitisme
L170	transnationalisme	migration	migration
L171	transnationalisme	mondialisation	mondialisation
L172	transport	aéroport	aéroport
L173	transport	conteneur	conteneur
L174	transport	logistique	logistique
