LNB	DOMAINES	NOTICE	ENTREE-recoded
L001	développement*	autochtonie	autochtonie
L002	développement*	capitalisme	capitalisme
L003	développement*	désert	désert
L004	développement*	désindustralisation/réindustrialisation	désindustralisation/réindustrialisation
L005	développement*	développement	développement
L006	développement*	école	école
L007	développement*	émergence	émergence
L008	développement*	esclavages	esclavages
L009	développement*	extractivisme	extractivisme
L010	développement*	faim	faim
L011	développement*	humanitaire	humanitaire
L012	développement*	informalité	informalité
L013	développement*	néolibéralisme	néolibéralisme
L014	développement*	nomadisme et sédentarité	nomadisme et sédentarité
L015	développement*	pauvreté	pauvreté
L016	développement*	ressource	ressource
L017	développement*	sable	sable
L018	développement*	services publics	services publics
L019	développement*	technique	technique
L020	économies*	capitalisme	capitalisme
L021	économies*	classe (sociale…)	classe sociale
L022	économies*	cluster	clusters et systèmes productifs locaux
L023	économies*	commerce	commerce
L024	économies*	communs	communs
L025	économies*	conteneur	conteneur
L026	économies*	criminalité	criminalité
L027	économies*	désindustralisation/réindustrialisation	désindustralisation/réindustrialisation
L028	économies*	développement local	développement local
L029	économies*	drogue	drogue
L030	économies*	élite	élite(s)
L031	économies*	énergie	énergie
L032	économies*	finance	finance
L033	économies*	fiscalité/impôts	fiscalité
L034	économies*	foncier	foncier
L035	économies*	industrie	industrie
L036	économies*	informalité	informalité
L037	économies*	logement	logement
L038	économies*	mafia	mafia
L039	économies*	marché	marché
L040	économies*	métropole, métropolisation	métropolisation
L041	économies*	mondialisation	mondialisation
L042	économies*	technique	technique
L043	économies*	travail	travail
L044	économies*	uberisation	ubérisation
L045	économies*	zone franche	zones franches
L046	lieux*	barrage	barrage
L047	lieux*	bibliothèque de géographie	bibliothèque de géographie
L048	lieux*	bled	bled
L049	lieux*	cabane	cabane
L050	lieux*	camp	camp
L051	lieux*	casino	casino
L052	lieux*	cimetière	cimetière
L053	lieux*	école	école
L054	lieux*	enfermement	enfermement
L055	lieux*	forêt	forêt
L056	lieux*	habitat	habitat
L057	lieux*	habiter	habiter
L058	lieux*	îles	île
L059	lieux*	littoral	littoral
L060	lieux*	local	local
L061	lieux*	logement	logement
L062	lieux*	mine	mine
L063	lieux*	montagne	montagne
L064	lieux*	monument	monument
L065	lieux*	mur	mur
L066	lieux*	musée	musée
L067	lieux*	oasis	oasis
L068	lieux*	outremer	outre-mer
L069	lieux*	parc	parc
L070	lieux*	plage	plage
L071	lieux*	prison	prison
L072	lieux*	quartier	quartier
L073	lieux*	rue	rue
L074	lieux*	ruines	ruines
L075	lieux*	skyline	skyline
L076	lieux*	squat	squat
L077	lieux*	tiers lieu	tiers-lieu
L078	lieux*	toilettes	toilettes
L079	lieux*	volcan	volcan
L080	lieux*	zoo	zoo
L081	métagéographie*	agéographique	agéographique
L082	métagéographie*	aménagement (du territoire)	aménagement du territoire
L083	métagéographie*	centre-périphérie	centre-périphérie
L084	métagéographie*	colonial, postcolonial, décolonial (approches)	colonial/postcolonial/décolonial
L085	métagéographie*	cuesta	cuesta
L086	métagéographie*	culture	culture
L087	métagéographie*	déterminisme	déterminisme
L088	métagéographie*	dictionnaire	dictionnaire
L089	métagéographie*	distance	distance
L090	métagéographie*	données	données
L091	métagéographie*	échelle	échelle
L092	métagéographie*	écritures géographiques	écritures géographiques
L093	métagéographie*	engagement	engagement
L094	métagéographie*	enseignement de la géographie	enseignement de la géographie
L095	métagéographie*	environnement	environnement
L096	métagéographie*	épistémologie de la géographie	épistémologie de la géographie
L097	métagéographie*	espace	espace
L098	métagéographie*	éthique et géographie	éthique et géographie
L099	métagéographie*	expérience	expérience
L100	métagéographie*	exploration	exploration
L101	métagéographie*	féminisme	féminisme
L102	métagéographie*	genre	genre
L103	métagéographie*	géohistoire	géohistoire
L104	métagéographie*	géomorphologie	géomorphologie
L105	métagéographie*	histoire et géographie	histoire et géographie
L106	métagéographie*	horizon	horizon
L107	métagéographie*	identité	identité
L108	métagéographie*	inégalités (spatiales)	inégalités spatiales
L109	métagéographie*	intersectionnalité	intersectionnalité
L110	métagéographie*	langue	langue
L111	métagéographie*	lieu	lieu
L112	métagéographie*	mailles/maillage	maillage/maille
L113	métagéographie*	marge/marginalité	marge/marginalité
L114	métagéographie*	métagéographie	métagéographie
L115	métagéographie*	monde	monde
L116	métagéographie*	nation	nation
L117	métagéographie*	nord-sud	nord-sud
L118	métagéographie*	ontologie	ontologie
L119	métagéographie*	orientalisme	orientalisme
L120	métagéographie*	pole/polarité	pôle/polarité
L121	métagéographie*	post	post(-)
L122	métagéographie*	race	race
L123	métagéographie*	région	région
L124	métagéographie*	représentations	représentations
L125	métagéographie*	système	système
L126	métagéographie*	temps	temps
L127	métagéographie*	terrain	terrain
L128	métagéographie*	territoire(s)	territoire(s)
L129	métagéographie*	toponymie	toponymie
L130	métagéographie*	tournant spatial	tournant spatial
L131	méthodes*	autocorrélation	autocorrélation
L132	méthodes*	bande dessinée	bande dessinée
L133	méthodes*	comparaison	comparaison
L134	méthodes*	concentration	concentration
L135	méthodes*	description	description
L136	méthodes*	déterminisme	déterminisme
L137	méthodes*	données	données
L138	méthodes*	échelle	échelle
L139	méthodes*	enseignement de la géographie	enseignement de la géographie
L140	méthodes*	épistémologie de la géographie	épistémologie de la géographie
L141	méthodes*	éthique et géographie	éthique et géographie
L142	méthodes*	films et séries TV	films et séries TV
L143	méthodes*	géolocalisation	géolocalisation
L144	méthodes*	interaction spatiale	interaction spatiale
L145	méthodes*	internet	internet
L146	méthodes*	local	local
L147	méthodes*	modèles	modèle urbain
L148	méthodes*	modélisation	modélisation
L149	méthodes*	multi-située (approche)	multisituée (approche)
L150	méthodes*	numérique	numérique
L151	méthodes*	post	post(-)
L152	méthodes*	son	son
L153	méthodes*	statistiques	statistique
L154	méthodes*	système	système
L155	méthodes*	terrain	terrain
L156	méthodes*	tournant spatial	tournant spatial
L157	mobilités et transports*	aéroport et aviation	aéroport
L158	mobilités et transports*	automobile	automobile
L159	mobilités et transports*	banlieue	banlieue
L160	mobilités et transports*	gare	gare
L161	mobilités et transports*	habiter	habiter
L162	mobilités et transports*	itinéraires	itinéraires
L163	mobilités et transports*	logistique	logistique
L164	mobilités et transports*	marche	marche
L165	mobilités et transports*	métropole, métropolisation	métropolisation
L166	mobilités et transports*	mobilité	mobilité
L167	mobilités et transports*	nomadisme et sédentarité	nomadisme et sédentarité
L168	mobilités et transports*	périurbain	périurbain
L169	mobilités et transports*	port	port
L170	mobilités et transports*	route	route
L171	mobilités et transports*	technique	technique
L172	mobilités et transports*	tourisme	tourisme
L173	mobilités et transports*	train	train
L174	mobilités et transports*	trajectoire	trajectoire
L175	mobilités et transports*	transport	transport
L176	mobilités et transports*	vélo	vélo
L177	mondialisation*	centre-périphérie	centre-périphérie
L178	mondialisation*	comparaison	comparaison
L179	mondialisation*	créolisation	créolisation
L180	mondialisation*	diaspora	diaspora
L181	mondialisation*	drogue	drogue
L182	mondialisation*	épidémie (pandémie)	épidémie
