LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION	NOTE
L0001	A (horizon)	A (horizon)	profil	profil	
L0002	A (horizon)	A (horizon)	lessivage	lessivage	
L0003	AA	aa	coulée	coulée	
L0004	Aber	aber	estuaire	estuaire	
L0005	ABÎME	abîme	aven*	aven	
L0006	ABIOTIQUE	abiotique	NA	NA	
L0007	ABLATION (glaciaire, nivale)	ablation	régime*	régime	
L0008	ABLATION (glaciaire, nivale)	ablation	déflation*	déflation	
L0009	ABLATION (glaciaire, nivale)	ablation	érosion	érosion	
L0010	ABONDANCE	abondance	débit*	débit	
L0011	ABONDANCE	abondance	module*	module	
L0012	ABONDANCE	abondance	recouvrement*	NA	entrée absente
L0013	ABRASION	abrasion	polissage	polissage	
L0014	ABRASION	abrasion	pied de glace*	pied de glace	
L0015	ABRASION	abrasion	falaise	falaise	
L0016	ABRASION	abrasion	rasa	rasa	
L0017	ABRI	abri	foehn	foehn	
L0018	ABRI	abri	courants perturbés*	perturbation	
L0019	ABRI	abri	gélifraction*	gélifraction	
L0020	ABRUPT	abrupt	faille	faille	
L0021	ABSENTEISME	absentéisme	latifonde*	latifundium	
L0022	ABSORBANT (puits)	puit absorbant	aven*	aven	
L0023	ABYSSAL	abyssal	NA	NA	
L0024	ACADIEN (climat)	acadien	NA	NA	
L0025	ACCIDENT	accident	structure	structure	
L0026	ACCOMMODAT, ACCOMMODATION	accommodat	convergence*	convergence	
L0027	ACCOMMODAT, ACCOMMODATION	accommodat	plantes grasses*	plante grasse	
L0028	Accore	accore	estran*	estran	
L0029	ACCRÉTION	accrétion	chaîne*	chaîne de montagnes	
L0030	ACCROISSEMENT NATUREL (de population)	accroissement naturel	NA	NA	
L0031	Accrue	accrue	NA	NA	
L0032	ACCULTURATION	acculturation	NA	NA	
L0033	ACCUMULATION	accumulation	sédimentation*	sédimentation	
L0034	ACCUMULATION	accumulation	colmatage	colmatage	
L0035	ACCUMULATION	accumulation	ennoyage	ennoyage	
L0036	ACCUMULATION	accumulation	remblaiement	remblaiement	
L0037	ACCUMULATION	accumulation	migration*	migration	
L0038	ACCUMULATION	accumulation	lessivage*	lessivage	
L0039	ACCUMULATION	accumulation	efflorescences*	efflorescence	
L0040	ACCUMULATION	accumulation	croûtes*	croûte	
L0041	ACCUMULATION	accumulation	dalles* calcaires	dalle	
L0042	ACCUMULATION	accumulation	mor*	mor	
L0043	ACCUMULATION	accumulation	podzol	podzol	
L0044	ACCUMULATION	accumulation	moder*	moder	
L0045	ACCUMULATION	accumulation	mull*	mull	
L0046	ACCUMULATION	accumulation	sol brun	sol brun	
L0047	ACCUMULATION	accumulation	alios	alios	
L0048	ACCUMULATION	accumulation	grepp	grepp	
L0049	ACCUMULATION	accumulation	cuirasse	cuirasse	
L0050	ACCUMULATION	accumulation	encroûtement	encroûtement	
L0051	ACCUMULATION	accumulation	croûte calcaire	croûte	
L0052	Acheb	acheb	NA	NA	
L0053	ACIDE	acide	silice*	silice	
L0054	ACIDE	acide	quartz*	quartz	
L0055	ACIDE	acide	pH*	pH	
L0056	ACIDE	acide	lessivage	lessivage	
L0057	ACIDE	acide	complexe absorbant	complexe	
L0058	ACIDE	acide	alcalin*	alcalin	
L0059	Acidiphile	acidiphile	acides*	acide	
L0060	Acidiphile	acidiphile	calcifuge	calcifuge	
L0061	ACKERBERG	ackerberg	NA	NA	
L0062	Actinomètre	actinomètre	soleil	soleil	
L0063	ACTIVITES	activité	productivité	productivité	
L0064	ACTIVITES	activité	exode agricole	exode	
L0065	ACTIVITES	activité	industrie	industrie	
L0066	Actuel	actuel	modelé	modelé	
L0067	ADAPTATION	adaptation	plissement*	plissement	
L0068	ADAPTATION	adaptation	épigénie*	épigénie	
L0069	ADAPTATION	adaptation	surimposition*	surimposition	
L0070	ADAPTATION	adaptation	capture*	capture	
L0071	ADAPTATION	adaptation	écotypes*	écotype	
L0072	ADAPTATION	adaptation	génotype*	génotype	
L0073	ADAPTATION	adaptation	accommodat	accommodat	
L0074	Adiabatique	adiabatique	température	température	
L0075	ADMINISTRATION	administration	NA	NA	
L0076	Adret	adret	exposition	exposition	
L0077	ADVECTION	advection	masse d'air*	masse d’air	
L0078	ADVECTION	advection	cyclogenèse*	cyclogenèse	
L0079	ADVENTICE	adventice	NA	NA	
L0080	Adventif (cône)	adventif	cône*	cône	
L0081	Aération (du relief)	aération	évidement	évidement	
L0082	Aérienne (navigation)	aérienne	avion	avion	
L0083	Aérienne (navigation)	aérienne	transports aériens	transports	
L0084	AEROGARE	aérogare	NA	NA	
L0085	AEROLOGIE	aérologie	atmosphère libre*	atmosphère	
L0086	AEROLOGIE	aérologie	atmosphère géographique*	atmosphère	
L0087	AEROPORT	aéroport	aérogare*	aérogare	
L0088	AEROPORT	aéroport	aérogare*	aérogare	
L0089	AEROPORT	aéroport	héliport*	héliport	
L0090	AFFLEUREMENT	affleurement	formations superficielles*	formation superficielle	
L0091	AFFLEUREMENT	affleurement	roche en place*	roche	
L0092	AFFLUENT	affluent	NA	NA	
L0093	Afforestation	afforestation	NA	NA	
L0094	AFFOUAGE	affouage	NA	NA	
L0095	AFFOUILLEMENT	affouillement	NA	NA	
L0096	AFFRETEMENT	affrètement	NA	NA	
L0097	Aftout	aftout	dune	dune	
L0098	AGAR-AGAR	agar-agar	NA	NA	
L0099	AGE (de la population)	âge de la population	pyramide d'âges	pyramide des âges	
L0100	AGE DE LA MAREE	âge de la marée	vives eaux*	vives eaux	
L0101	Age (du relief)	âge du relief	cycle	cycle	
L0102	Agent d'érosion	agent d’érosion	érosion	érosion	
L0103	AGER	ager	NA	NA	
L0104	AGGLOMERATION	agglomération	migrations quotidiennes*	migration	
L0105	AGGLOMERATION	agglomération	mouvements pendulaires*	migration	
L0106	AGGLOMERATION	agglomération	new towns*	ville nouvelle	
L0107	AGGLOMERATION	agglomération	schéma directeur*	schéma directeur	
L0108	AGGLOMERATION	agglomération	aire métropolitaine	métropole	
L0109	Aggradation	aggradation	surface	surface	
L0110	AGREGAT	agrégat	structure*	structure	
L0111	AGREGAT	agrégat	grumeaux*	NA	entrée absente
L0112	AGRESSIVITE	agressivité	dissolution	dissolution	
L0113	Agreste	agreste	savane	savane	
L0114	AGRICULTURE	agriculture	propriété	propriété	
L0115	AGRICULTURE	agriculture	exploitation agricole	exploitation	
L0116	AGRICULTURE	agriculture	terroir	terroir	
L0117	AGRICULTURE	agriculture	aménagement agricole	aménagement	
L0118	AGRICULTURE	agriculture	finage	finage	
L0119	AGROLOGIE	agrologie	sol*	sol	
L0120	AGROLOGIE	agrologie	pédologie*	pédologie	
L0121	AGROLOGIE	agrologie	sol	sol	
L0122	AGRO-PASTORAL (équilibre)	agro-pastoral	NA	NA	
L0123	AGROVILLE	agroville	NA	NA	
L0124	AIGUILLE (alpine)	aiguille	cheminées*	cheminée	
L0125	AIGUILLE (alpine)	aiguille	gendarmes*	gendarme	
L0126	AIR	air	atmosphère*	atmosphère	
L0127	AIR	air	masse d'air	masse d’air	
L0128	AIRE	aire	NA	NA	
L0129	AIRE (à battre le grain)	aire à battre	NA	NA	
L0130	AIRE CULTURELLE	aire culturelle	NA	NA	
L0131	Aklé	aklé	dune	dune	
L0132	ALASKIEN (glacier)	alaskien	fjeld*	NA	entrée absente
L0133	ALASKIEN (glacier)	alaskien	transfluences*	transfluence	
L0134	ALASKIEN (glacier)	alaskien	lobes de piémont*	piémont	
L0135	Albedo	albedo	rayonnement	rayonnement	
L0136	ALCALIN (sol)	alcalin	pH*	pH	
L0137	ALCALIN (sol)	alcalin	sols halomorphes*	halomorphe	
L0138	ALCALIN (sol)	alcalin	sols acides*	acide	
L0139	ALFA	alfa	steppe*	steppe	
L0140	ALGOCULTURE	algoculture	NA	NA	
L0141	ALIMENTATION	alimentation	régime* glaciaire	régime	
L0142	ALIMENTATION	alimentation	névé*	névé	
L0143	ALIMENTATION	alimentation	corniche de neige	corniche	
L0144	ALIOS	alios	podzols*	podzol	
L0145	ALIOS	alios	hydromorphe*	hydromorphe	
L0146	ALIOS	alios	matière organique*	matière organique	
L0147	ALIZE	alizé	NA	NA	
L0148	ALLEGE	allège	NA	NA	
L0149	Allochtone	allochtone	charriage	charriage	
L0150	ALLOGENE (cours d'eau)	allogène	NA	NA	
L0151	ALLUVION	alluvion	galets*	galet	
L0152	ALPAGE	alpage	« montagne » pastorale	montagne	
L0153	ALPAGE	alpage	consortage	consortage	
L0154	ALPAGE	alpage	mayen	mayen	
L0155	ALPAGE	alpage	transhumance*	transhumance	
L0156	ALPAGE	alpage	estivage*	estive	
L0157	ALPIN (quelquefois ALPESTRE)	alpin	montagne	montagne	
L0158	ALPIN (quelquefois ALPESTRE)	alpin	tectonique	tectonique	
L0159	ALPIN (quelquefois ALPESTRE)	alpin	chaîne géosynclinale	géosynclinal	
L0160	ALPIN (quelquefois ALPESTRE)	alpin	étage de végétation	étage de végétation	
L0161	ALPIN (quelquefois ALPESTRE)	alpin	langue*	langue	
L0162	ALPIN (quelquefois ALPESTRE)	alpin	cirques*	cirque	
L0163	ALPIN (quelquefois ALPESTRE)	alpin	glaciation*	glaciation	
L0164	ALPIN (quelquefois ALPESTRE)	alpin	himalayen (glacier)	himalayen	
L0165	ALPIN (quelquefois ALPESTRE)	alpin	étage	étage	
L0166	ALTERATION	altération	désagrégation*	désagrégation	
L0167	ALTERATION	altération	Salzsprengung*	Salzsprengung	
L0168	ALTERATION	altération	lessivage*	lessivage	
L0169	ALTERATION	altération	foisonnement*	foisonnement	
L0170	ALTERATION	altération	arène*	arène	
L0171	ALTERATION	altération	corrosion*	corrosion	
L0172	Altérite	altérite	altération	altération	
L0173	ALTIMETRIE	altimétrie	NA	NA	
L0174	ALTIPLANATION	altiplanation	gélifraction*	gélifraction	
L0175	ALTIPLANATION	altiplanation	gélifluxion*	gélifluxion	
L0176	ALTIPLANATION	altiplanation	replat	replat	
L0177	ALTITUDE	altitude	zéro* marin	zéro	
L0178	ALTITUDE	altitude	estatisme*	NA	entrée absente
L0179	ALTITUDE	altitude	montagne	montagne	
L0180	ALTITUDE	altitude	climats de montagne	climat	
L0181	ALTITUDE	altitude	tourisme	tourisme	
L0182	ALTITUDE	altitude	station	station	
L0183	Altocumulus — Altostratus	altocumulus	nuage	nuage	
L0184	ALUMOGEL	alumogel	podzols*	podzol	
L0185	ALUMOGEL	alumogel	profil	profil	
L0186	ALVEOLE	alvéole	taffoni*	taffoni	
L0187	ALVEOLE	alvéole	nid d'abeille*	nid d’abeille	
L0188	ALVEOLE	alvéole	altérites*	altérite	
L0189	AMELIORATIONS FONCIERES	amélioration	« aménagement agricole »*	aménagement	
L0190	AMENAGEMENT	aménagement	pédologie	pédologie	
L0191	AMENAGEMENT	aménagement	terrasse de cultures	terrasse de culture	
