LNUM	ENTREE	ORIGINE	RENVOIS	DESTINATION
L0001	Actifs toxiques	actifs toxiques	capitalisme	capitalisme
L0002	Actifs toxiques	actifs toxiques	crise	crise
L0003	Actifs toxiques	actifs toxiques	économie	économie
L0004	Actifs toxiques	actifs toxiques	gouvernance	gouvernance
L0005	Actifs toxiques	actifs toxiques	risque systémique	risque systémique
L0006	Actifs toxiques	actifs toxiques	subprime	subprime
L0007	Aéroport	aéroport	centre/périphérie	centre/périphérie
L0008	Aéroport	aéroport	flux	flux
L0009	Aéroport	aéroport	métropolisation	métropolisation
L0010	Aéroport	aéroport	mobilité	mobilité
L0011	Aéroport	aéroport	réseau	réseau
L0012	Aéroport	aéroport	territoire	territoire
L0013	Aéroport	aéroport	transport et échange	transport et échange
L0014	Agence de notation	agence de notation	capitalisme	capitalisme
L0015	Agence de notation	agence de notation	crise	crise
L0016	Agence de notation	agence de notation	crises (financières)	crises (financières)
L0017	Agence de notation	agence de notation	dette (extérieure)	dette (extérieure)
L0018	Agence de notation	agence de notation	État	État
L0019	Agence de notation	agence de notation	globalisation	globalisation
L0020	Agence de notation	agence de notation	risque économique	risque économique
L0021	Agro-impérialisme	agro-impérialisme	changement climatique	changement climatique
L0022	Agro-impérialisme	agro-impérialisme	économie	économie
L0023	Agro-impérialisme	agro-impérialisme	faim/famine	faim/famine
L0024	Agro-impérialisme	agro-impérialisme	globalisation	globalisation
L0025	Agro-impérialisme	agro-impérialisme	libéralisation	libéralisation
L0026	Agro-impérialisme	agro-impérialisme	organisation non gouvernementale	organisation non gouvernementale (ONG)
L0027	Agro-impérialisme	agro-impérialisme	pauvreté	pauvreté
L0028	Agro-impérialisme	agro-impérialisme	sécurité alimentaire	sécurité alimentaire
L0029	Agro-impérialisme	agro-impérialisme	société civile	société civile
L0030	Aide d'État	aide d’état	économie	économie
L0031	Aide d'État	aide d’état	gouvernance	gouvernance
L0032	Aide d'État	aide d’état	libre-échange	libre-échange
L0033	Aide d'État	aide d’état	TIC	TIC
L0034	Aide publique au développement	aide publique au développement	développement	développement
L0035	Aide publique au développement	aide publique au développement	État	État
L0036	Aide publique au développement	aide publique au développement	faim/famine	faim/famine
L0037	Aide publique au développement	aide publique au développement	migrations internationales	migrations internationales
L0038	Aide publique au développement	aide publique au développement	pauvreté	pauvreté
L0039	Aide publique au développement	aide publique au développement	société civile	société civile
L0042	Altermondialisme	altermondialisme	capitalisme	capitalisme
L0043	Altermondialisme	altermondialisme	décroissance	décroissance
L0040	Altermondialisme	altermondialisme	démondialisation	démondialisation
L0044	Altermondialisme	altermondialisme	démondialisation	démondialisation
L0045	Altermondialisme	altermondialisme	développement durable	développement durable
L0046	Altermondialisme	altermondialisme	écologie	écologie
L0047	Altermondialisme	altermondialisme	économie	économie
L0048	Altermondialisme	altermondialisme	humanitaire	humanitaire
L0041	Altermondialisme	altermondialisme	indignés	indignés
L0049	Altermondialisme	altermondialisme	sommet international	sommet international
L0050	Américanisation	américanisation	altermondialisme	altermondialisme
L0051	Américanisation	américanisation	anglosphère	anglosphère
L0052	Américanisation	américanisation	capitalisme	capitalisme
L0053	Américanisation	américanisation	cinéma	cinéma
L0056	Américanisation	américanisation	États-Unis	États-Unis
L0054	Américanisation	américanisation	Europe	Europe
