LNUM	ENTREE	INITIALES	NOM_Prenom
L0001	Accessibilité	JL	LEVY_Jacques
L0002	Accessibilité cognitive	JL	LEVY_Jacques
L0003	Accomodation/Assimilation	JL	LEVY_Jacques
L0004	Actant	ML	LUSSAULT_Michel
L0005	Acteur	ML	LUSSAULT_Michel
L0006	Action spatiale	ML	LUSSAULT_Michel
L0007	Adaptation	OS	SOUBEYRAN_Olivier
L0008	Agencement	ML	LUSSAULT_Michel
L0009	Agent	JL	LEVY_Jacques
L0010	Agglomération	FME	MORICONI-EBRARD_François
L0011	Agir communicationnel	ML	LUSSAULT_Michel
L0012	Agraire (Géographie)	FP	PLET_Françoise
L0013	Agriculture	FP	PLET_Françoise
L0014	Ailleurs	AT	TURCO_Angelo
L0015	Aire	JL	LEVY_Jacques
L0016	Aire culturelle	AT	TURCO_Angelo
L0017	Alberti, Leon Battista (1404-1472)	TP	PAQUOT_Thierry
L0018	Alignement	ML	LUSSAULT_Michel
L0019	Alimentation (Géographie de l')	FP	PLET_Françoise
L0020	Alonso, William (1933-1999)	LDa	DAVEZIES_Laurent
L0021	Altérité	AT	TURCO_Angelo
L0022	Ambiance architecturale et urbaine	PAm	AMPHOUX_Pascal
L0023	Aménagement (Géographie et)	ML	LUSSAULT_Michel
L0024	Aménagement (Géographie et)	ST	THIBAULT_Serge
L0025	Aménagement du territoire	JL	LEVY_Jacques
L0026	Analogie	ML	LUSSAULT_Michel
L0027	Analyse spatiale	TSJ	SAINT-JULIEN_Thérèse
L0028	Analyse/Synthèse	JL	LEVY_Jacques
L0029	Analytique (Géographie)	JL	LEVY_Jacques
L0030	Anamorphose	JL	LEVY_Jacques
L0031	Anaximandre de Millet (610-546 av. J.-C.)	JFS	STASZAK_Jean-François
L0032	Animal	JFS	STASZAK_Jean-François
L0033	Anthropisation	AB	BERQUE_Augustin
L0034	Anthropologie (Géographie et)	BC	COLLIGNON_Béatrice
L0035	Appliquée (Géographie)	JLM	MATHIEU_Jean-Louis
L0036	Archéologie (Géographie et)	HG	GALINIE_Henri
L0037	Archipel mégalopolitain mondial (AMM)	RD	DAGORN_René
L0038	Architecture (Géographie et)	TP	PAQUOT_Thierry
L0039	"Aristote [""le Stagirite""] (384-322 av. J.-C.)"	CBB	BEGORRE-BRET_Cyrille
L0040	Armature urbaine	HLB	LE BRAS_Hervé
L0041	Artificiel/Authentique	JL	LEVY_Jacques
L0042	Arts (Géographie et)	RK	KNAFOU_Rémy
L0043	Attraction	FME	MORICONI-EBRARD_François
L0044	Auto-organisation (a)	FDD	DURAND-DASTES_François
L0045	Auto-organisation (a)	LS	SANDERS_Lena
L0046	Auto-organisation (b)	JL	LEVY_Jacques
L0047	Autocorrélation spatiale	LS	SANDERS_Lena
L0048	Axiome	JL	LEVY_Jacques
L0049	Aydalot, Philippe (1939-1987)	LDa	DAVEZIES_Laurent
L0050	Bachelard, Gaston (1884-1962)	TP	PAQUOT_Thierry
L0051	Banlieue	MG	GRESILLON_Michel
L0052	Barel, Yves (1930-1990)	CAS	ARBARET-SCHULZ_Christiane
L0053	Barel, Yves (1930-1990)	FAu	AURIAC_François
L0054	Barel, Yves (1930-1990)	JPF	FERRIER_Jean-Paul
L0055	Barel, Yves (1930-1990)	MM	MARIE_Michel
L0056	Bartels, Dietrich (1931-1983)	BW	WERLEN_Benno
L0057	Bartels, Dietrich (1931-1983)	MS	STOCK_Mathis
L0058	Bauhaus	JBM	MINNAERT_Jean-Baptiste
L0059	Benjamin, Walter (1892-1940)	DH	DESBONS_David
L0060	Berkeley, George (1685-1753)	AS	STROHL_Anne
L0061	Bifurcation	ST	THIBAULT_Serge
L0062	Biogéographie	PAr	ARNOULD_Paul
L0063	Biologie (Géographie et)	ML	LUSSAULT_Michel
L0064	Blanchard, Raoul (1877-1965)	TP	PAQUOT_Thierry
L0065	Bobek, Hans (1903-1990)	BW	WERLEN_Benno
L0066	Bobek, Hans (1903-1990)	MS	STOCK_Mathis
L0067	Boisguilbert, Pierre de (1646-1714)	GB	BENKO_Georges
L0068	Braudel, Fernand (1902-1985)	CG	GRATALOUP_Christian
L0069	Calvino, Italo (1923-1985)	JL	LEVY_Jacques
L0070	Campagne	JL	LEVY_Jacques
L0071	Cantillon, Richard (1680-1734)	GB	BENKO_Georges
L0072	Capital spatial	JL	LEVY_Jacques
L0073	Capitalisme	CR	RUBY_Christian
L0074	Carte	JL	LEVY_Jacques
L0075	Carte mentale	JFS	STASZAK_Jean-François
L0076	Cartésien (Espace)	JL	LEVY_Jacques
L0077	Cartographie	EC	CASTI_Emanuela
L0078	Caste	OLo	LOUISET_Odette
L0079	Catastrophes (Théorie des)	ST	THIBAULT_Serge
L0080	Causalité	JFP	PRADEAU_Jean-François
L0081	Centralité	CD	DELACROIX_Christian
L0082	Centre urbain	ML	LUSSAULT_Michel
L0083	Centre/Périphérie	JL	LEVY_Jacques
L0084	Cerda, Ildefons (1815-1876)	JL	LEVY_Jacques
