LNUM	AUTEURICE	NOM_Prenom	GENRE	ROLE
L001	AB	BERQUE_Augustin	M	Auteurice
L002	AG	GUEDEZ_Annie	F	Auteurice
L003	AJMB	BERNARD_Alain J.-M.	M	Auteurice
L004	AM	MICOUD_André	M	Auteurice
L005	AMGG	GERIN-GRATALOUP_Anne-Marie	F	Auteurice
L006	AS	STROHL_Anne	F	Auteurice
L007	AT	TURCO_Angelo	M	Auteurice
L008	AV	VOLVEY_Anne	F	Auteurice
L009	BB	BEAUDE_Boris	M	Auteurice
L010	BC	COLLIGNON_Béatrice	F	Auteurice
L011	BD	DEBARBIEUX_Bernard	M	Auteurice
L012	BW	WERLEN_Benno	M	Auteurice
L013	CAS	ARBARET-SCHULZ_Christiane	F	Auteurice
L014	CBB	BEGORRE-BRET_Cyrille	M	Auteurice
L015	CCa	CALENGE_Christian	M	Auteurice
L016	CCh	CHIVALLON_Christine	F	Auteurice
L017	CD	DELACROIX_Christian	M	Auteurice
L018	CDA	d’ALESSANDRO_Cristina	F	Auteurice
L019	CE	EMELIANOFF_Cyria	F	Auteurice
L020	CG	GRATALOUP_Christian	M	Comité de pilotage
L021	CH	HANCOCK_Claire	F	Auteurice
L022	CL	LIAUZU_Claude	M	Auteurice
L023	CR	RUBY_Christian	M	Auteurice
L024	DC	CRETON_Dominique	F	Auteurice
L025	DD	DESBONS_David	M	Auteurice
L026	DH	HIERNAUX-NICOLAS_Daniel	M	Auteurice
L027	DLT	LAPLACE-TREYTURE_Danielle	F	Auteurice
L028	DR	RETAILLE_Denis	M	Comité de pilotage
L029	DW	WOLFF_Denis	M	Auteurice
L030	EC	CASTI_Emanuela	F	Auteurice
L031	EE	EVENO_Emmanuel	M	Auteurice
L032	ET	TRICOIRE_Emmanuelle	F	Auteurice
L033	FA	ASCHER_François	M	Auteurice
L034	FAu	AURIAC_François	M	Auteurice
L035	FB	BELLIVIER_Florence	F	Auteurice
L036	FD	DOSSE_François	M	Auteurice
L037	FDD	DURAND-DASTES_François	M	Auteurice
L038	FH	HAEGEL_Florence	F	Auteurice
L039	FME	MORICONI-EBRARD_François	M	Comité de pilotage
L040	FP	PLET_Françoise	F	Conseil scientifique
L041	GB	BENKO_Georges	M	Auteurice
L042	GD	DEMATTEIS_Giuseppe	M	Auteurice
L043	GDM	DI MEO _Guy	M	Auteurice
L044	GP	PREVELAKIS_Georges	M	Auteurice
