LNUM	ENTREE	ORIGINE	CORRELAT	DESTINATION
L0001	Accessibilité	Accessibilité	Interaction spatiale	Interaction spatiale
L0002	Accessibilité	Accessibilité	Métrique	Métrique
L0003	Accessibilité	Accessibilité	Mobilité	Mobilité
L0004	Accessibilité	Accessibilité	Tourisme	Tourisme
L0005	Accessibilité	Accessibilité	Transports	Transports
L0006	Accessibilité	Accessibilité	Virtuel	Virtuel
L0007	Accessibilité cognitive	Accessibilité cognitive	Cognition	Cognition
L0008	Accessibilité cognitive	Accessibilité cognitive	Cohérence	Cohérence
L0009	Accessibilité cognitive	Accessibilité cognitive	Épistémologie	Épistémologie
L0010	Accessibilité cognitive	Accessibilité cognitive	Pertinence	Pertinence
L0011	Accessibilité cognitive	Accessibilité cognitive	Science	Science
L0012	Accommodation/Assimilation	Accommodation/Assimilation	Cognition	Cognition
L0013	Accommodation/Assimilation	Accommodation/Assimilation	Épistémologie	Épistémologie
L0014	Accommodation/Assimilation	Accommodation/Assimilation	Intégration	Intégration
L0015	Accommodation/Assimilation	Accommodation/Assimilation	Paradigme	Paradigme
L0016	Accommodation/Assimilation	Accommodation/Assimilation	Piaget Jean	Piaget Jean
L0017	Actant	Actant	Acteur	Acteur
L0018	Actant	Actant	Action spatiale	Action spatiale
L0019	Actant	Actant	Agencement	Agencement
L0020	Actant	Actant	Constructivisme	Constructivisme
L0021	Actant	Actant	Imaginaire	Imaginaire géographique
L0022	Actant	Actant	Spatialité	Spatialité
L0023	Acteur	Acteur	Actant	Actant
L0024	Acteur	Acteur	Action spatiale	Action spatiale
L0025	Acteur	Acteur	Individu	Individu
L0026	Acteur	Acteur	Pratique spatiale	Pratique spatiale
L0027	Acteur	Acteur	Spatialité	Spatialité
L0028	Acteur	Acteur	Société	Société
L0029	Acteur	Acteur	Social	Social
L0030	Action spatiale	Action spatiale	Acteur	Acteur
L0031	Action spatiale	Action spatiale	Agencement	Agencement
L0032	Action spatiale	Action spatiale	Discours	Discours
L0033	Action spatiale	Action spatiale	Dispositif spatial	Dispositif spatial légitime
L0034	Action spatiale	Action spatiale	Interaction spatiale	Interaction spatiale
L0035	Action spatiale	Action spatiale	Sociologie (Géographie et)	Sociologie (Géographie et)
L0036	Action spatiale	Action spatiale	Spatialité	Spatialité
L0037	Adaptation	Adaptation	Biologie (Géographie et)	Biologie (Géographie et)
L0038	Adaptation	Adaptation	Écoumène	Écoumène
L0039	Adaptation	Adaptation	Géographie	Géographie
L0040	Adaptation	Adaptation	Histoire de la géographie	Histoire de la géographie
L0041	Adaptation	Adaptation	Lamarckisme	Lamarckisme
L0042	Adaptation	Adaptation	Milieu	Milieu
L0043	Adaptation	Adaptation	Nature (Espace et)	Nature (Espace et)
L0044	Adaptation	Adaptation	Vidal de la Blache Paul	Vidal de la Blache Paul
L0045	Agencement	Agencement	Acteur	Acteur
L0046	Agencement	Agencement	Action spatiale	Action spatiale
L0047	Agencement	Agencement	Agent	Agent
L0048	Agencement	Agencement	Ambiance architecturale et urbaine	Ambiance architecturale et urbaine
L0049	Agencement	Agencement	Langage	Langage
L0050	Agencement	Agencement	Spatialité	Spatialité
L0051	Agent	Agent	Actant	Actant
L0052	Agent	Agent	Acteur	Acteur
L0053	Agent	Agent	Action spatiale	Action spatiale
L0054	Agent	Agent	Individu	Individu
L0055	Agglomération	Agglomération	Attraction	Attraction
L0056	Agglomération	Agglomération	Banlieue	Banlieue
L0057	Agglomération	Agglomération	Lieux centraux (Théorie des)	Lieux centraux (Théorie des)
L0058	Agglomération	Agglomération	Urbain	Urbain
L0059	Agglomération	Agglomération	Urbanité	Urbanité
L0060	Agglomération	Agglomération	Ville	Ville
L0061	Agir communicationnel	Agir communicationnel	Action spatiale	Action spatiale
L0062	Agir communicationnel	Agir communicationnel	Espace public (II)	Espace public (II)
L0063	Agir communicationnel	Agir communicationnel	Monde vécu	Monde vécu
L0064	Agraire (Géographie)	Agraire (Géographie)	Agriculture	Agriculture
L0065	Agraire (Géographie)	Agraire (Géographie)	Anthropologie (Géographie et)	Anthropologie (Géographie et)
L0066	Agraire (Géographie)	Agraire (Géographie)	Archéologie (Géographie et)	Archéologie (Géographie et)
L0067	Agraire (Géographie)	Agraire (Géographie)	Demangeon Albert	Demangeon Albert
L0068	Agraire (Géographie)	Agraire (Géographie)	Dion Roger	Dion Roger
L0069	Agraire (Géographie)	Agraire (Géographie)	Finage	Finage
L0070	Agraire (Géographie)	Agraire (Géographie)	Histoire (Géographie et)	Histoire (Géographie et)
L0071	Agraire (Géographie)	Agraire (Géographie)	Rurale (Géographie)	Rurale (Géographie)
L0072	Agraire (Géographie)	Agraire (Géographie)	Rural	Rural
L0073	Agraire (Géographie)	Agraire (Géographie)	Terroir	Terroir
L0074	Agriculture	Agriculture	Agraire (Géographie)	Agraire (Géographie)
