LNUM	ENTREE	ORIGINE	AUTEURICE	CATEGORIE	CHAPEAU
L001	Accessibilité	Accessibilité	JL	1	1
L002	Accessibilité cognitive	Accessibilité cognitive	JL	4	1
L003	Accommodation/Assimilation	Accommodation/Assimilation	JL	4	0
L004	Actant	Actant	ML	4	1
L005	Acteur	Acteur	ML	1	1
L006	Action spatiale	Action spatiale	ML	1	1
L007	Adaptation	Adaptation	OS	2	0
L008	Agencement	Agencement	ML	1	1
L009	Agent	Agent	JL	4	1
L010	Agglomération	Agglomération	FME	1	1
L011	Agir communicationnel	Agir communicationnel	ML	4	1
L012	Agraire (Géographie)	Agraire (Géographie)	FP	2	0
L013	Agriculture	Agriculture	FP	4	1
L014	Ailleurs	Ailleurs	AT	1	1
L015	Aire	Aire	JL	1	1
L016	Aire culturelle	Aire culturelle	AT	1	1
L017	Alberti, Leon Battista (1404-1472)	Alberti Leon Battista	TP	3	0
L018	Alignement	Alignement	ML	1	1
L019	Alimentation (Géographie de l')	Alimentation (Géographie de l')	FP	2	0
L020	Alonso, William (1933-1999)	Alonso William	LDa	3	0
L021	Altérité	Altérité	AT	4	1
L022	Ambiance architecturale et urbaine	Ambiance architecturale et urbaine	PAm	1	1
L023	Aménagement (Géographie et)	Aménagement (Géographie et)	ML & ST	2	0
L024	Aménagement du territoire	Aménagement du territoire	JL	1	1
L025	Analogie	Analogie	ML	4	1
L026	Analyse spatiale	Analyse spatiale	TSJ	2	0
L027	Analyse/Synthèse	Analyse/Synthèse	JL	4	0
L028	Analytique (Géographie)	Analytique (Géographie)	JL	2	0
L029	Anamorphose	Anamorphose	JL	1	1
L030	Anaximandre de Millet (610-546 av. J.-C.)	Anaximandre de Millet	JFS	3	0
L031	Animal	Animal	JFS	4	1
L032	Anthropisation	Anthropisation	AB	1	1
L033	Anthropologie (Géographie et)	Anthropologie (Géographie et)	BC	2	0
L034	Appliquée (Géographie)	Appliquée (Géographie)	JLM	2	0
L035	Archéologie (Géographie et)	Archéologie (Géographie et)	HG	2	0
L036	Archipel mégalopolitain mondial (AMM)	Archipel mégalopolitain mondial (AMM)	RD	1	1
L037	Architecture (Géographie et)	Architecture (Géographie et)	TP	2	0
L038	"Aristote [""le Stagirite""] (384-322 av. J.-C.)"	Aristote	CBB	3	0
L039	Armature urbaine	Armature urbaine	HLB	1	1
L040	Artificiel/Authentique	Artificiel/Authentique	JL	4	0
L041	Arts (Géographie et)	Arts (Géographie et)	RK	2	0
L042	Attraction	Attraction	FME	1	1
L043	Autocorrélation spatiale	Autocorrélation spatiale	LS	1	1
L044	Auto-organisation (a)	Auto-organisation	LS & FDD	4	1
L045	Auto-organisation (b)	Auto-organisation	JL	4	1
L046	Axiome	Axiome	JL	4	1
L047	Aydalot, Philippe (1939-1987)	Aydalot Philippe	LDa	3	0
L048	Bachelard, Gaston (1884-1962)	Bachelard Gaston	TP	3	0
L049	Banlieue	Banlieue	MG	1	1
L050	Barel, Yves (1930-1990)	Barel Yves	CAS & FAu & JPF & MM	3	0
L051	Bartels, Dietrich (1931-1983)	Bartels Dietrich	BW & MS	3	0
L052	Bauhaus	Bauhaus	JBM	3	0
L053	Benjamin, Walter (1892-1940)	Benjamin Walter	DH	3	0
L054	Berkeley, George (1685-1753)	Berkeley George	AS	3	0
L055	Bifurcation	Bifurcation	ST	4	1
L056	Biogéographie	Biogéographie	PAr	2	0
L057	Biologie (Géographie et)	Biologie (Géographie et)	ML	2	0
L058	Blanchard, Raoul (1877-1965)	Blanchard Raoul	TP	3	0
L059	Bobek, Hans (1903-1990)	Bobek Hans	BW & MS	3	0
L060	Boisguilbert, Pierre de (1646-1714)	Boisguilbert Pierre de	GB	3	0
L061	Braudel, Fernand (1902-1985)	Braudel Fernand	CG	3	0
L062	Calvino, Italo (1923-1985)	Calvino Italo	JL	3	0
L063	Campagne	Campagne	JL	1	1
L064	Cantillon, Richard (1680-1734)	Cantillon Richard	GB	3	0
L065	Capital spatial	Capital spatial	JL	1	1
L066	Capitalisme	Capitalisme	CR	4	1
L067	Carte	Carte	JL	1	1
L068	Carte mentale	Carte mentale	JFS	1	1
L069	Cartésien (Espace)	Cartésien (Espace)	JL	2	0
L070	Cartographie	Cartographie	EC	2	0
L071	Caste	Caste	OLo	4	1
L072	Catastrophes (Théorie des)	Catastrophes (Théorie des)	ST	4	0
L073	Causalité	Causalité	JFP	4	1
L074	Centralité	Centralité	GD	1	1
L075	Centre/Périphérie	Centre/Périphérie	JL	1	1
L076	Centre urbain	Centre urbain	ML	1	1
L077	Cerda, Ildefons (1815-1876)	Cerda Ildefons	JL	3	0
L078	Certeau, Michel de (1925-1986)	Certeau Michel de	FD	3	0
L079	Champ	Champ	LC	1	1
L080	Changement	Changement	CR	4	1
L081	Chaos (Théorie du)	Chaos (Théorie du)	ST (+ ML)	4	0
L082	Chicago (École de)	Chicago (École de)	IJ	3	0
L083	Chombart de Lauwe, Paul-Henry (1913-1998)	Chombart de Lauwe Paul-Henry	TP	3	0
L084	Chorème	Chorème	CG	1	1
L085	Chorotype	Chorotype	JL	1	1
L086	Christaller, Walter (1893-1969)	Christaller Walter	JLM	3	0
L087	Circulation	Circulation	JLM	1	1
L088	Citadinité	Citadinité	ML	1	1
L089	Cité	Cité	JFP (+ ET)	4	1
L090	Civilisation	Civilisation	DD	4	0
L091	Civilité	Civilité	IJ	4	1
L092	Classe	Classe	CR	4	1
L093	Classe socio-spatiale	Classe socio-spatiale	DR	2	0
L094	Climat	Climat	JFS	1	1
L095	Climatologie	Climatologie	FDD	2	0
L096	Cognitif/Affectif	Cognitif/Affectif	JL	4	0
L097	Cognition	Cognition	LM	4	1
L098	Cohérence	Cohérence	JL	4	1
L099	Coloniale (Géographie)	Coloniale (Géographie)	HBL + CDA	2	0
L100	Commerce	Commerce	PP	4	1
L101	Communautariens	Communautariens	CCh	4	0
L102	Communauté	Communauté	JL	4	1
L103	Communauté/Société (Modèle)	Communauté/Société (Modèle)	RD	4	0
L104	Communication	Communication	EE	4	1
L105	Communication (Géographie de la)	Communication (Géographie de la)	EE	2	0
L106	Communication territoriale	Communication territoriale	MR	1	1
L107	Communisme	Communisme	CR	4	1
L108	Commutateur	Commutateur	JL	1	1
L109	Comparatisme	Comparatisme	DR	4	1
L110	Complexité	Complexité	ST	4	1
L111	Compréhension	Compréhension	GDM & ML	4	1
L112	Compromis territorial	Compromis territorial	RDK	1	1
L113	Concentration	Concentration	LDa	1	1
L114	Concept	Concept	JFP	4	1
L115	Concret/Abstrait	Concret/Abstrait	JFP	4	0
L116	Confins	Confins	JL	1	1
L117	Connexité	Connexité	JMOf	1	1
L118	Consensus/Dissensus	Consensus/Dissensus	FH	4	0
L119	Constructivisme	Constructivisme	ML	4	0
L120	Contact	Contact	JL	1	1
L121	Contexte	Contexte	ML	4	1
L122	Contiguïté	Contiguïté	JCG	1	1
L123	Continent	Continent	DR	1	1
L124	Continuité	Continuité	JCG	1	1
L125	Contrat	Contrat	CR	4	1
L126	Contrôle	Contrôle	JL	2	0
L127	Coprésence	Coprésence	ML	1	1
L128	Corps	Corps	CH	1	1
L129	Cospatialité	Cospatialité	JL	1	1
L130	Coupure épistémologique	Coupure épistémologique	CR	4	1
L131	Critique	Critique	CR	4	1
L132	Culture	Culture	JL	4	0
L133	Culturelle (Géographie)	Culturelle (Géographie)	JFS	2	0
L134	Cyberespace	Cyberespace	BB	1	1
L135	Cycle	Cycle	GB	4	1
