LNUM	ORIGINE	DESTINATION
L001	copropriété	pavillon
L002	copropriété	agence immobilière
L003	copropriété	loft
L004	copropriété	appartement Airbnb
L005	copropriété	squat
L006	copropriété	toits
L007	copropriété	Ehpad
L008	copropriété	chambre de bonne
L009	copropriété	potager
L010	copropriété	quartier gay
L011	pavillon	copropriété
L012	pavillon	permis de construire
L013	pavillon	magasin de bricolage
L014	pavillon	toits
L015	pavillon	favela
L016	pavillon	village
L017	pavillon	potager
L018	pavillon	périph
L019	pavillon	métro
L020	pavillon	appartement Airbnb
L021	pavillon	agence immobilière
L022	pavillon	Ehpad
L023	pavillon	loft
L024	pavillon	chambre de bonne
L025	pavillon	ghetto de riches
L026	squat	zone
L027	squat	pavillon
L028	squat	appartement Airbnb
L029	squat	chambre de bonne
L030	squat	copropriété
L031	squat	favela
L032	squat	township
L033	squat	friche
L034	squat	bibliothèque
L035	squat	siège de parti politique
L036	agence immobilière	copropriété
L037	agence immobilière	pavillon
L038	agence immobilière	permis de construire
L039	agence immobilière	chambre de bonne
L040	agence immobilière	loft
L041	agence immobilière	appartement Airbnb
L042	agence immobilière	mairie
L043	agence immobilière	ghetto de riches
L044	agence immobilière	quartier d’affaires
L045	permis de construire	pavillon
L046	permis de construire	magasin de bricolage
L047	permis de construire	agence immobilière
L048	permis de construire	mairie
L049	permis de construire	favela
L050	permis de construire	township
L051	permis de construire	décharge
L052	permis de construire	chantier de démolition
L053	permis de construire	tour de bureaux
L054	permis de construire	friche
L055	magasin de bricolage	chantier de démolition
L056	magasin de bricolage	décharge
L057	magasin de bricolage	Exposition universelle
L058	magasin de bricolage	friche
L059	magasin de bricolage	permis de construire
L060	magasin de bricolage	pavillon
L061	magasin de bricolage	toits
L062	toits	pavillon
L063	toits	tour de bureaux
L064	toits	chambre de bonne
L065	toits	loft
L066	toits	dôme
L067	toits	col
L068	toits	magasin de bricolage
L069	toits	ciel
L070	chambre de bonne	copropriété
L071	chambre de bonne	agence immobilière
L072	chambre de bonne	appartement Airbnb
L073	chambre de bonne	toits
L074	chambre de bonne	université
L075	chambre de bonne	bains-douches
L076	township	favela
L077	township	squat
L078	township	ghetto de riches
L079	township	territoire sacrifié
L080	township	zone
L081	township	décharge
L082	favela	township
L083	favela	squat
L084	favela	permis de construire
L085	favela	ghetto de riches
L086	favela	Jeux olympiques et paralympiques
L087	favela	territoire sacrifié
L088	favela	pavillon
L089	favela	toits
L090	favela	potager
L091	favela	zone
L092	favela	décharge
L093	bains-douches	chambre de bonne
L094	bains-douches	fontaine publique
L095	bains-douches	township
L096	bains-douches	favela
L097	village	Instagram
L098	village	forêt
L099	village	place de village
L100	village	halles
L101	village	MJC
L102	village	pavillon
L103	village	copropriété
L104	village	mairie
L105	village	cimetière
L106	village	vigne
L107	loft	pavillon
L108	loft	appartement Airbnb
L109	loft	ghetto de riches
L110	loft	Ehpad
L111	loft	quartier d’affaires
L112	loft	agence immobilière
L113	loft	quartier gay
L114	loft	tour de bureaux
L115	loft	toits
L116	loft	chambre de bonne
L117	loft	squat
L118	loft	usine
L119	chai	vigne
L120	chai	potager
L121	chai	village
L122	chai	jardin
L123	chai	rue de la soif
L124	chai	bar
L125	appartement Airbnb	pavillon
L126	appartement Airbnb	chambre de bonne
L127	appartement Airbnb	agence immobilière
L128	appartement Airbnb	hôtel
L129	appartement Airbnb	squat
L130	appartement Airbnb	copropriété
L131	appartement Airbnb	loft
L132	appartement Airbnb	ghetto de riches
L133	appartement Airbnb	Jeux olympiques et paralympiques
L134	appartement Airbnb	montagne
L135	appartement Airbnb	mer
L136	appartement Airbnb	île
L137	appartement Airbnb	Instagram
L138	Ehpad	pavillon
L139	Ehpad	village
L140	Ehpad	appartement Airbnb
L141	Ehpad	hôtel
L142	Ehpad	squat
L143	Ehpad	ghetto de riches
L144	Ehpad	chambre de bonne
L145	Ehpad	copropriété
L146	Ehpad	cimetière
L147	bar	rue de la soif
L148	bar	village
L149	bar	quartier d’affaires
L150	bar	boîte de nuit
L151	bar	casino
L152	bar	hôtel
L153	bar	place de village
L154	bar	grand-place
L155	bar	quartier gay
L156	bar	gare
L157	fontaine publique	bains-douches
L158	fontaine publique	place de village
L159	fontaine publique	jardin
L160	fontaine publique	parc urbain
L161	place de village	grand-place
L162	place de village	village
L163	place de village	épicerie
L164	place de village	gare
L165	place de village	mairie
L166	place de village	bar
L167	place de village	fontaine publique
L168	place de village	poste
L169	place de village	parc urbain
L170	place de village	jardin
L171	mairie	village
L172	mairie	place de village
L173	mairie	poste
L174	mairie	école
L175	mairie	MJC
L176	mairie	parc urbain
L177	mairie	jardin
L178	mairie	cimetière
L179	mairie	bureau de vote
L180	mairie	stade
L181	mairie	bibliothèque
L182	mairie	mémorial
L183	poste	place de village
L184	poste	village
L185	poste	mairie
L186	poste	entrepôt Amazon
L187	poste	agence immobilière
L188	poste	carte postale
L189	usine	loft
L190	usine	permis de construire
L191	usine	chantier de démolition
L192	usine	magasin de bricolage
L193	usine	entrepôt Amazon
L194	usine	quartier d’affaires
L195	usine	friche
L196	école	bibliothèque
L197	école	cour de récréation
L198	école	cabinet d’histoire-géographie
L199	école	université
L200	école	salle de jeux d’arcade
L201	école	zoo
L202	école	MJC
L203	école	musée
L204	cour de récréation	école
L205	cour de récréation	MJC
L206	cour de récréation	parc urbain
L207	cour de récréation	bibliothèque
L208	cour de récréation	jardin
L209	cour de récréation	salle de jeux d’arcade
L210	université	école
L211	université	cour de récréation
L212	université	cabinet d’histoire-géographie
L213	université	bibliothèque
L214	épicerie	halles
L215	épicerie	puces
L216	épicerie	grand-place
L217	épicerie	place de village
L218	épicerie	entrepôt Amazon
L219	épicerie	restaurant
L220	entrepôt Amazon	usine
L221	entrepôt Amazon	poste
L222	entrepôt Amazon	data center
L223	entrepôt Amazon	méga-bazar
L224	entrepôt Amazon	puces
L225	entrepôt Amazon	halles
L226	entrepôt Amazon	aire de poids lourds
L227	restaurant	hôtel
L228	restaurant	bar
L229	restaurant	rue de la soif
L230	restaurant	gare
L231	restaurant	aire de poids lourds
L232	restaurant	épicerie
L233	restaurant	potager
L234	restaurant	abattoir
L235	restaurant	parc à thèmes
L236	halles	puces
L237	halles	épicerie
L238	halles	grand-place
L239	halles	restaurant
L240	halles	abattoir
L241	MJC	squat
L242	MJC	mairie
L243	MJC	école
L244	MJC	cour de récréation
L245	MJC	bibliothèque
L246	herboristerie	chai
L247	herboristerie	jardin
L248	herboristerie	épicerie
L249	herboristerie	place de village
L250	herboristerie	forêt
L251	herboristerie	montagne
L252	herboristerie	potager
L253	potager	jardin
L254	potager	parc urbain
L255	potager	herboristerie
L256	potager	épicerie
L257	potager	restaurant
L258	potager	vigne
L259	jardin	parc urbain
L260	jardin	herboristerie
L261	jardin	forêt
L262	jardin	friche
L263	jardin	pavillon
L264	jardin	fontaine publique
L265	parc urbain	carte postale
L266	parc urbain	jardin
L267	parc urbain	forêt
L268	parc urbain	friche
L269	parc urbain	potager
L270	parc urbain	fontaine publique
L271	forêt	montagne
L272	forêt	herboristerie
L273	forêt	jardin
L274	forêt	parc urbain
L275	forêt	vigne
L276	forêt	friche
L277	forêt	col
L278	forêt	golf club
L279	forêt	Instagram
L280	forêt	village
L281	vigne	chai
L282	vigne	bar
L283	vigne	rue de la soif
L284	vigne	boîte de nuit
L285	vigne	Instagram
L286	cimetière	Ehpad
L287	cimetière	abattoir
L288	cimetière	mémorial
L289	cimetière	champ de bataille
L290	Jeux olympiques et paralympiques	golf club
L291	Jeux olympiques et paralympiques	stade
L292	Jeux olympiques et paralympiques	ghetto de riches
L293	Jeux olympiques et paralympiques	rodéo
L294	Jeux olympiques et paralympiques	appartement Airbnb
L295	Jeux olympiques et paralympiques	hôtel
L296	Jeux olympiques et paralympiques	tribune
L297	Jeux olympiques et paralympiques	circuit automobile
L298	Jeux olympiques et paralympiques	métro
L299	Jeux olympiques et paralympiques	Exposition universelle
L300	Jeux olympiques et paralympiques	montagne
L301	Jeux olympiques et paralympiques	mer
L302	Jeux olympiques et paralympiques	Instagram
L303	golf club	ghetto de riches
L304	golf club	circuit automobile
L305	golf club	rodéo sauvage
L306	golf club	township
L307	golf club	favela
L308	golf club	parc urbain
L309	golf club	forêt
L310	golf club	jardin
L311	golf club	stade
L312	ghetto de riches	golf club
L313	ghetto de riches	loft
L314	ghetto de riches	favela
L315	ghetto de riches	township
L316	ghetto de riches	appartement Airbnb
L317	ghetto de riches	quartier d’affaires
L318	ghetto de riches	pavillon
L319	ghetto de riches	agence immobilière
L320	siège de parti politique	bureau de vote
L321	siège de parti politique	mairie
L322	siège de parti politique	squat
L323	bureau de vote	mairie
L324	bureau de vote	école
L325	bureau de vote	siège de parti politique
L326	bureau de vote	place de village
L327	grand-place	place de village
L328	grand-place	fontaine publique
L329	grand-place	cimetière
L330	grand-place	halles
L331	grand-place	théâtre
L332	grand-place	mémorial
L333	grand-place	mairie
L334	tribune	circuit automobile
L335	tribune	rodéo sauvage
L336	tribune	Jeux olympiques et paralympiques
L337	tribune	stade
L338	stade	tribune
L339	stade	Jeux olympiques et paralympiques
L340	stade	parc urbain
L341	stade	ghetto de riches
L342	stade	gallodrome
L343	stade	dôme
L344	quartier gay	rue de la soif
L345	quartier gay	bar
L346	quartier gay	ghetto de riches
L347	tour de bureaux	quartier d’affaires
L348	tour de bureaux	ghetto de riches
L349	tour de bureaux	loft
L350	tour de bureaux	toits
L351	tour de bureaux	Exposition universelle
L352	tour de bureaux	gare
L353	tour de bureaux	métro
